category,url,job_id,has_detail_section,detail_section_name,ville,departement,type_contrat,salaire,periode,niveau_etudes,experience,title,company,voir_plus_clicked,full_description,description_length,competences,nb_competences,remote,secteur,scraped_at,extraction_detailed,published_date,skip_reason,error
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787186.html,73787186,True,Détail du poste,Comines,59,CDI,27 000 - 36 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,,2025-12-17T11:50:46.817457,True,il y a 8 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787154.html,73787154,True,Détail du poste,Wattrelos,59,CDI,28 000 - 31 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,Valenciennes H/F,2025-12-17T11:50:57.658743,True,il y a 8 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787144.html,73787144,True,Détail du poste,Villeurbanne,69,CDI,32 200 - 35 000 € / an,3 mois,Bac +2,,"Conseiller Clientèle H/F
Caisse d'Epargne Rhône Alpes",Caisse d'Epargne Rhône Alpes,True,,0.0,,0.0,True,,2025-12-17T11:51:16.974854,True,il y a 21 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787134.html,73787134,True,Les missions du poste,Ploërmel,56,Freelance,35 000 - 50 000 € / an,12 mois,Bac +2,,"Attaché Commercial H/F
Sovitrat",Sovitrat,True,,0.0,,0.0,True,s ciblés et vous serez en charge d'identifier les besoins techniques des interlocuteurs,2025-12-17T11:51:28.610586,True,il y a 5 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787379.html,73787379,True,Les missions du poste,Amancy,74,CDI,13 - 15 € / heure,2 ans,Bac +2,,"Technico-Commercial Menuiserie H/F
Acti’v La Roche",Acti’v La Roche,True,,0.0,,0.0,False,,2025-12-17T11:51:57.615897,True,il y a 23 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787112.html,73787112,True,Les missions du poste,Saugnieu,69,CDI,60 000 - 70 000 € / an,10 ans,Bac +5,,"Key Account Manager Freight Forwarding H/F
LEAN JOB",LEAN JOB,True,,0.0,,0.0,True,,2025-12-17T11:52:26.320189,True,plus de 1 mois,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787106.html,73787106,True,Détail du poste,Rennes,35,CDI,37 500 - 64 800 € / an,,Bac +2,,"Attaché Commercial H/F
Bureau Veritas",Bureau Veritas,True,,0.0,,0.0,True,,2025-12-17T11:52:37.318682,True,il y a 23 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787057.html,73787057,True,Les missions du poste,Provence,13,CDI,33 000 - 38 000 € / an,2 ans,Bac +2,,"Commercial Développement Réseau Multisite en Résidence pour Seniors H/F
Domitys",Domitys,True,,0.0,,0.0,True,,2025-12-17T11:52:48.571134,True,il y a 23 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787056.html,73787056,True,Les missions du poste,Bresse,01,CDI,34 000 - 37 000 € / an,2 ans,Bac +2,,"Commercial Développement Réseau H/F
Domitys",Domitys,True,,0.0,,0.0,True,,2025-12-17T11:53:04.519641,True,il y a 29 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787055.html,73787055,True,Les missions du poste,Bayonne,64,CDI,48 000 - 54 000 € / an,5 ans,Bac +3,2 à 5 ans,"Commercial B2b - Cybersécurité H/F
UPTOO",UPTOO,True,,0.0,,0.0,True,de Pau et ses alentours.,2025-12-17T11:53:31.126211,True,il y a 27 jours,,
